id,name,symbol,price_usd,market_cap,ai,gaming,memes,rwa,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,atl,atl_change_percentage
a-gently-used-nokia-3310,A Gently Used Nokia 3310,usedphone,1.178e-05,0.0,0,0,1,0,6223.0,11775.19,9.43,0.000232565,0.00020407999999999998,3.3768800000000005e-07,1.1562299999999999,356.71000000000004,0.69408,0.0,1000000000.0,1000000000.0,0.000582,-97.97676,7.91e-06,48.89298
chihuahua,Chihuahua,hua,1.393e-09,0.0,0,0,1,0,6223.0,139267.0,2.2,1.395e-09,1.385e-09,1.375e-12,0.09886,0.0,0.0,0.0,100000000000000.0,1000000000.0,5.0767e-08,-97.25676,4.92219e-10,182.93685
based-boshi,Based Boshi,$boshi,1.34587e-07,0.0,0,0,1,0,6223.0,13458.72,3.69,1.33611e-07,1.29744e-07,3.941e-09,3.01651,0.0,0.0,0.0,99999999999.99998,1000000000.0,2.991e-05,-99.55,7.7956e-08,72.64459
betterbelong,LONG,long,53.88,0.0,0,0,1,0,6223.0,538827.0,54.01,0.000232565,0.00020407999999999998,3.3768800000000005e-07,1.1562299999999999,356.71000000000004,0.69408,0.0,10000.0,10000.0,2147.75,-97.4912,33.06,62.99826
dogai,Dogai,dogai,4.474e-09,0.0,0,0,1,0,6223.0,43389.0,316.25,0.000232565,0.00020407999999999998,3.3768800000000005e-07,1.1562299999999999,356.71000000000004,0.69408,0.0,9697643505935.0,10000000000000.0,1.34824e-07,-96.68148,4.222e-09,5.9723
baked,Baked,baked,0.00056117,0.0,0,0,1,0,6223.0,561168.0,2374.84,0.00056726,0.00052767,2.633e-05,4.92377,0.0,0.0,0.0,999999836.94,999999836.94,0.02690605,-97.91845,0.00046236,21.1309
based-shiba-inu,Based Shiba Inu,bshib,1.205e-05,0.0,0,0,1,0,6223.0,120491.0,5743.27,1.587e-05,1.158e-05,-3.3494846515e-07,-2.70468,0.0,0.0,0.0,10000000000.0,1000000000.0,0.00206227,-99.41697,6.96e-06,72.79966
billion-dollar-inu,Billion Dollar Inu,binu,1.886e-05,0.0,0,0,1,0,6223.0,18857.92,9.98,0.000232565,0.00020407999999999998,3.3768800000000005e-07,1.1562299999999999,356.71000000000004,0.69408,0.0,1000000000.0,1000000000.0,0.01205373,-99.84355,1.603e-05,17.64499
a-gently-used-2001-honda,A Gently Used 2001 Honda,usedcar,0.00156062,0.0,0,0,1,0,6223.0,518852.0,9112.25,0.00156214,0.00146275,7.653e-05,5.1564,0.0,0.0,0.0,332906748.0,332906748.0,0.116545,-98.66348,0.00077723,100.40915
broccoli-5,Broccoli,broccoli,0.00058419,0.0,0,0,1,0,6223.0,584203.0,295.78,0.0005842,0.00057445,7.33e-06,1.27085,0.0,0.0,0.0,1000000000.0,1000000000.0,0.00435493,-86.58525,0.00053319,9.56832
1000troll,1000TROLL,1000troll,3.54e-06,0.0,0,0,1,0,6223.0,3400312950.0,1045.19,3.6e-06,3.33e-06,9.0328e-08,2.61812,0.0,0.0,0.0,960420000000000.0,960420000000000.0,0.00011601,-96.94827,3.19e-06,11.12872
cat-inu,CAT INU,cat,7.4831e-14,0.0,0,0,1,0,6223.0,0.231966,5.88,7.4857e-14,7.4162e-14,-2.3e-17,-0.03085,0.0,0.0,0.0,3100000000000.0,3100000000000.0,1.613e-12,-95.36005,2.5109e-14,198.02042
bong-bonk-s-brother,BONG BONK'S BROTHER,bong,2.32602e-07,0.0,0,0,1,0,6223.0,21753.0,179.13,2.33031e-07,2.16726e-07,1.2206e-08,5.53831,0.0,0.0,0.0,93694856036.06088,100000000000.0,6.275e-05,-99.62998,1.35062e-07,71.8969
buldak,Buldak,bul,4.07481e-07,0.0,0,0,1,0,6223.0,1250561.0,4075.83,7.10452e-07,3.89752e-07,-1.83395068479e-07,-31.03781,0.0,0.0,0.0,3069000000000.0,3069000000000.0,3.8e-06,-89.28177,2.72421e-07,49.57058
arab-cat,Arab cat,arab,0.0005035,0.0,0,0,1,0,6223.0,50256.0,240.18,0.00050512,0.00048989,2.21e-06,0.44071,0.0,0.0,0.0,100000000.0,100000000.0,0.099104,-99.4929,0.00038892,29.21822
casinu-inu,Casinu Inu,casinu,8.33328e-07,0.0,0,0,1,0,6223.0,83333.0,68.33,0.000232565,0.00020407999999999998,3.3768800000000005e-07,1.1562299999999999,356.71000000000004,0.69408,0.0,100000000000.0,100000000000.0,4.033e-05,-97.93365,4.14195e-07,101.19231
based-bobr,Based BOBR,bobr,0.00021247,0.0,0,0,1,0,6223.0,212473.0,19686.27,0.000253,0.00019711,-3.9460727456082e-05,-15.66311,0.0,0.0,0.0,1000000000.0,1000000000.0,0.00099345,-78.6125,0.00018971,12.00031
